;provincia;ta
0;ARABA/ALAVA;19.1
1;ALBACETE;34.35
2;ALICANTE;29.53333333333333
3;ALMERIA;29.439999999999998
4;AVILA;24.933333333333337
5;BADAJOZ;32.48333333333333
6;ILLES BALEARS;29.29
7;BARCELONA;26.98
8;BURGOS;19.32
9;CACERES;31.2
10;CADIZ;26.849999999999998
11;CASTELLON;25.3
12;CIUDAD REAL;34.459999999999994
13;CORDOBA;34.525
14;A CORUÑA;19.275
15;CUENCA;32.650000000000006
16;GIRONA;24.5
17;GRANADA;34.300000000000004
18;GUADALAJARA;28.2
19;GIPUZKOA;19.075000000000003
20;HUELVA;28.125
21;HUESCA;23.849999999999998
22;JAEN;35.16
23;LEON;20.625
24;LLEIDA;25.2
25;LA RIOJA;22.9
26;LUGO;18.9
27;MADRID;27.211111111111112
28;MALAGA;32.642857142857146
29;MURCIA;31.9625
30;NAVARRA;19.924999999999997
31;OURENSE;23.700000000000003
32;ASTURIAS;18.04
33;PALENCIA;17.833333333333332
34;LAS PALMAS;26.575000000000003
35;PONTEVEDRA;22.8
36;SALAMANCA;22.660000000000004
37;STA. CRUZ DE TENERIFE;27.333333333333332
38;CANTABRIA;18.18
39;SEGOVIA;21.450000000000003
40;SEVILLA;34.1
41;SORIA;18.4
42;TARRAGONA;26.65
43;TERUEL;29.174999999999997
44;TOLEDO;32.92
45;VALENCIA;29.28333333333333
46;VALLADOLID;22.7
47;BIZKAIA;18.825
48;ZAMORA;25.5
49;ZARAGOZA;24.119999999999997
50;MELILLA;33.4
51;CEUTA;32.9
